x0,theta,di0,di2,epsilon,field
-319.35937054339297,0.42074519315430386,0.1291158437292934,-0.000295425909855498,0.01447611205294909,-3.8666666666666667
-319.33852735874353,0.406160896655105,0.1259519371412917,-0.00020265956353373915,-0.007365277159416866,-3.8
-319.59001205580984,0.41519746942268404,0.12406663753246024,-0.00014095958847459606,-0.013005667573480482,-3.733333333333333
-319.7338006941241,0.4071858550094572,0.1249697492139794,-1.556273719203621e-05,0.024179030077855414,-3.6666666666666665
-319.9544968439822,0.40408373073027465,0.12612169240427562,-0.00010485841776287489,-0.0026165211895732192,-3.6
-320.2981383839533,0.3448423352580757,0.1335555213066829,-5.936525330670839e-05,-0.04295296353315537,-3.533333333333333
-320.67184311159076,0.40324698827146965,0.12970653284301334,-0.00020007587536600456,-0.044558869649408375,-3.4666666666666663
-320.86556326280515,0.41247260270684044,0.12896098815815682,-0.00029927990254866206,-0.017096865428990943,-3.4
-321.075373469621,0.41507149403023247,0.128556071346968,-0.00035848704799691704,-0.011408670927518155,-3.333333333333333
-321.17700325250047,0.4056615520098313,0.12950633602362677,-0.000457530232050632,-0.02770467806960318,-3.2666666666666666
-321.3249554842388,0.41399143730634325,0.12930440366448853,-0.00029356581356518964,-0.024415352755287487,-3.2
-321.4433473588611,0.40199256081499823,0.13275530468433194,-0.0001484915281147885,-0.019402555923364085,-3.133333333333333
-321.61373822811004,0.4027319835781292,0.13266575903747238,-0.00031162905638938113,-0.04016498943808121,-3.0666666666666664
-321.778575462607,0.3985505127316779,0.13416451672512683,-0.0001211505483373215,0.008563520643894406,-3.0
-321.86488653649997,0.40203765958936094,0.13389503183507792,-0.00029054840942770974,-0.019400064123032797,-2.933333333333333
-321.9625499342004,0.40658512978743344,0.13557280835581148,-0.00018691776913287977,-0.0586398859174736,-2.8666666666666667
-322.0189232771652,0.4077716438751211,0.13640402675915414,-0.0004683474471257667,-0.04433356398762949,-2.8
-322.0532922129419,0.41992254328192585,0.1319038281089979,-0.00016378035139268243,-0.0556794945041703,-2.733333333333333
-322.23987003778643,0.42204524078099354,0.13454456026681602,-0.00017596500547628703,-0.052935399378844936,-2.6666666666666665
-322.3546693862058,0.4057107143239044,0.13372686222961647,-0.00028402439056202447,-0.0631824745492779,-2.6
-322.47457643192644,0.4073761854945427,0.13664829278056234,-0.0001997011874094897,-0.04620310285713054,-2.533333333333333
-322.58330766259735,0.39768720514046224,0.13917676825554207,-0.0001878402883348894,-0.03081967560383578,-2.4666666666666663
-322.7259075556755,0.41431290310860913,0.13555660375787018,-0.0004339235539176058,-0.04507305696391637,-2.4
