Tmc,beta,i0,i1,i2,temp,x0
350.0,1.769870105745435,0.8252995741243139,0.10886688145066499,4.310011579610998,,-369.8020973089884
350.0,1.555181356485169,0.7726762743041152,0.09443905440912716,4.302339455708278,,-369.6062861540844
350.0,1.773881742050149,0.8208964311116758,0.10285407418448451,4.309120653411422,,-369.5979763542303
350.0,1.5639183569331003,0.766528055710689,0.09505627643181397,4.297608702740834,,-369.57807649511216
350.0,1.637162159186452,0.7813886118648874,0.1057825539156024,4.321566315596826,,-369.87791256615463
350.0,1.6100975375174273,0.8075622105379578,0.10079880442548954,4.281390926816172,,-369.63890617049555
350.0,1.7535318225946108,0.8035645558491913,0.10012562919402881,4.290169408628909,,-369.63407006880755
300.0,1.8075898964189483,1.2097099928047967,0.1058529971341259,4.004611225716544,,-369.16401580262794
300.0,1.446533134581553,0.8408017920410527,0.10037565041866893,4.2776266277454775,,-369.7357280772398
300.0,1.2903971740715976,0.7468332129722602,0.0999012884062068,4.3371654318091295,,-369.92680341152413
300.0,1.66296208480457,1.0335101025998263,0.10428601131096538,4.147806324692214,,-369.40711253378146
300.0,1.2201611365015652,0.6686955740165323,0.09794493260987587,4.395103937229769,,-370.0177168912345
300.0,1.3523804332361493,0.7140433675724036,0.09575945212251881,4.364504448986029,,-369.96679293566496
300.0,1.4624004469041727,0.981874485497357,0.099671142721994,4.150188564693436,,-369.4861928966032
300.0,1.271792378549224,0.7262560369296672,0.10072875510654296,4.378848296616148,,-369.8433260072725
300.0,1.3789842269757486,0.7362387948115279,0.09843472413181163,4.35236300122296,,-369.672322999391
300.0,1.2526251307879632,0.724290175938982,0.10027481651393799,4.3591955109833815,,-370.0204545804549
250.0,0.8684983992689994,0.5356327058466301,0.09753166245937091,4.547119123337457,,-370.16971517913265
250.0,0.7537186748884571,0.35960921882093155,0.10078955676982297,4.687448580710416,,-370.55111780882004
250.0,0.9815368913166327,0.6221098355129844,0.10125366700700687,4.4840165475733835,,-370.02237494299146
250.0,1.1102778737719885,0.7418317472888571,0.10003747934516576,4.376629054207778,,-369.92355832966746
250.0,1.0805677830489369,0.6869165665409721,0.1011425840950954,4.427351729519699,,-370.0647539923629
250.0,0.9542025977627432,0.5909092625376391,0.10130944246511951,4.514301297198533,,-370.21609412352143
250.0,0.505624912344938,0.22689276148922163,0.09908769329093332,4.781169655501521,,-370.8206776448778
250.0,0.8363679180043058,0.5665880170674801,0.09943509761614341,4.518771791662828,,-370.2749750190642
250.0,1.166278489486169,0.8561930838783635,0.10304986040822095,4.287240017356768,,-369.65806530245885
250.0,0.540600483996247,0.04370115197330212,0.09672849456077473,3.7921117836085716,,-378.99999999999943
200.0,0.8636270802064874,0.6340655640709182,0.10058499363636442,4.157913100898923,,-368.8393979287492
200.0,0.7025029597840552,0.5853418569247987,0.0906175774580478,4.152162443299389,,-368.8553419147767
200.0,0.8518146804832571,0.883891986442999,0.09760082326793931,3.9017950403585684,,-368.6079942782421
200.0,0.8779924799718641,0.897713937595705,0.09620240417798352,3.897321172505437,,-368.4688968777186
200.0,0.7857833845742926,0.5540918341678008,0.09816153435769363,4.199973525980615,,-368.848083856292
200.0,0.8071010409962347,0.49721938371156504,0.09620381180527508,4.25773117916309,,-368.9671546077691
200.0,0.9070994648774632,1.2109136817983341,0.09352774747806185,3.5851657451921684,,-368.2622447732184
200.0,0.9558363994516014,1.001530353414814,0.09905973018122148,3.834204903578648,,-368.4153708587774
200.0,0.5665226027226117,0.415263804929055,0.09414573071575368,4.30684304057407,,-369.02071913338796
200.0,0.5932900177368655,0.5010235385370131,0.0974867217687174,4.265632857050196,,-369.08483661665423
180.0,0.8253640631370113,0.7806368635013662,0.10242094241070455,4.069757264554795,,-368.35041601407437
180.0,0.9128238939334213,0.7849953981918162,0.10302973490897525,4.056774110178635,,-368.5219514065948
180.0,0.8736584235708306,0.7780948499994078,0.10211604423136957,4.052302661501234,,-368.4103060767153
180.0,0.8289590040421547,0.7618694326236942,0.09857747581640525,4.052944086934557,,-368.3120968642785
180.0,0.876730945141564,0.77615940217267,0.09818008878752177,4.052437931320332,,-368.2977286853055
180.0,0.8546857869216015,0.7662699595793114,0.10080902680801687,4.064184382495091,,-368.3910559913849
180.0,0.825695077596497,0.7855609111621917,0.10716257170828299,4.062675016747614,,-368.3601303499306
180.0,0.8235101187296411,0.767586798057651,0.09970160515280257,4.039473810899177,,-368.32185225929203
